Lauren Bacall,tt0117057,tt0071877,tt0038355,tt0037382
Brigitte Bardot,tt0054452,tt0057345,tt0056404,tt0049189
John Belushi,tt0080455,tt0077975,tt0072562,tt0078723
Ingrid Bergman,tt0038787,tt0038109,tt0077711,tt0034583
Humphrey Bogart,tt0042593,tt0043265,tt0033870,tt0034583
Marlon Brando,tt0047296,tt0078788,tt0068646,tt0070849
Richard Burton,tt0087803,tt0059749,tt0057877,tt0061184
James Cagney,tt0031867,tt0035575,tt0029870,tt0042041
Gary Cooper,tt0027996,tt0044706,tt0035896,tt0034167
Bette Davis,tt0042192,tt0031210,tt0035140,tt0056687
Olivia de Havilland,tt0029843,tt0041452,tt0040806,tt0031381
James Dean,tt0049261,tt0044245,tt0048028,tt0048545
Kirk Douglas,tt0043338,tt0054331,tt0049456,tt0043465
Henry Fonda,tt0050083,tt0051207,tt0082846,tt0032551
Joan Fontaine,tt0040536,tt0035751,tt0034248,tt0032976
Clark Gable,tt0031381,tt0023382,tt0025316,tt0026752
John Gielgud,tt0117631,tt0045943,tt0082031,tt0071877
Cary Grant,tt0034248,tt0053125,tt0048728,tt0056923
Alec Guinness,tt0041546,tt0050212,tt0076759,tt0051739
Rita Hayworth,tt0038559,tt0040525,tt0035103,tt0036723
Margaux Hemingway,tt0077800,tt0074802,tt0110138,tt0102122
Audrey Hepburn,tt0056923,tt0054698,tt0046250,tt0058385
Katharine Hepburn,tt0063227,tt0082846,tt0043265,tt0032904
Charlton Heston,tt0052618,tt0070723,tt0063442,tt0049833
William Holden,tt0072308,tt0074958,tt0043014,tt0046359
Buster Keaton,tt0015324,tt0019421,tt0017925,tt0016332
Grace Kelly,tt0047396,tt0048728,tt0044706,tt0046912
Deborah Kerr,tt0039192,tt0049408,tt0050105,tt0045793
Alan Ladd,tt0035432,tt0046303,tt0034798,tt0038369
Veronica Lake,tt0034240,tt0038369,tt0035432,tt0034798
Burt Lancaster,tt0050468,tt0080388,tt0045793,tt0051036
Bruce Lee,tt0077594,tt0070034,tt0068935,tt0068767
Vivien Leigh,tt0044081,tt0034272,tt0033238,tt0031381
Sophia Loren,tt0076085,tt0060121,tt0058335,tt0054749
Peter Lorre,tt0033870,tt0034583,tt0022100,tt0036613
James Mason,tt0053125,tt0056193,tt0047522,tt0046672
Marcello Mastroianni,tt0053779,tt0056801,tt0076085,tt0110907
Robert Mitchum,tt0048424,tt0056197,tt0055824,tt0039689
Paul Newman,tt0084855,tt0054997,tt0257044,tt0061512
David Niven,tt0074937,tt0061452,tt0057413,tt0052182
Maureen O'Hara,tt0039628,tt0045061,tt0055277,tt0041149
Laurence Olivier,tt0032976,tt0077269,tt0069281,tt0074860
